student_id,age,session_id,attempt_date,question_id,subject,question_text,student_answer,correct_answer,is_correct,time_taken
S001,12,Session1,2025-01-04,Q001,Science,What natural satellite orbits the Earth?,Moon,Moon,1,40
S001,12,Session1,2025-01-04,Q002,Math,What is 45 + 28?,73,73,1,99
S001,12,Session1,2025-01-04,Q003,History,In which year did World War II end?,1945,1945,1,38
S001,12,Session1,2025-01-04,Q004,History,What is the capital of France?,Paris,Paris,1,5
S001,12,Session1,2025-01-04,Q005,English,"Which is a verb: 'swim', 'blue', or 'quick'?",swim,swim,1,79
S001,12,Session2,2025-01-05,Q006,Math,What is 55 - 15?,40,40,1,43
S001,12,Session2,2025-01-05,Q007,Math,What is 12 × 4?,48,48,1,46
S001,12,Session2,2025-01-05,Q008,Science,What part of the plant conducts photosynthesis?,I don't know,Leaf,0,110
S001,12,Session2,2025-01-05,Q009,Math,What is 71 - 9?,62,62,1,77
S001,12,Session2,2025-01-05,Q010,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",IDK,happy,0,118
S001,12,Session2,2025-01-05,Q011,History,What ancient civilization built the pyramids?,Egyptians,Egyptians,1,57
S001,12,Session3,2025-01-12,Q012,History,Who was known as the Maid of Orléans?,Joan of arc,Joan of Arc,1,68
S001,12,Session3,2025-01-12,Q013,Math,What is 41 + 11?,54,52,0,81
S001,12,Session3,2025-01-12,Q014,Math,What is 68 - 15?,51,53,0,92
S001,12,Session3,2025-01-12,Q015,Math,What is 10 × 6?,61,60,0,19
S001,12,Session3,2025-01-12,Q016,English,What punctuation ends a question?,question mark,question mark,1,97
S001,12,Session3,2025-01-12,Q017,English,What is the opposite of 'cold'?,I'm guessing,hot,0,18
S001,12,Session3,2025-01-12,Q018,English,What is the opposite of 'cold'?,-,hot,0,52
S001,12,Session3,2025-01-12,Q019,Science,What natural satellite orbits the Earth?,I don't know,Moon,0,81
S001,12,Session3,2025-01-12,Q020,English,What do we call words that sound the same but have different meanings?,Homonyms,homonyms,1,117
S001,12,Session4,2025-01-12,Q021,Math,What is 37 + 6?,43,43,1,13
S001,12,Session4,2025-01-12,Q022,Science,What is H2O commonly known as?,I don't know,Water,0,38
S001,12,Session4,2025-01-12,Q023,History,Who discovered America in 1492?,,Christopher Columbus,0,30
S001,12,Session4,2025-01-12,Q024,English,What punctuation ends a question?,I'm guessing,question mark,0,52
S001,12,Session4,2025-01-12,Q025,History,What is the capital of France?,Paris,Paris,1,5
S001,12,Session4,2025-01-12,Q026,Science,What is the largest planet in our solar system?,Jupiter,Jupiter,1,82
S001,12,Session5,2025-01-14,Q027,Math,What is 5 × 6?,29,30,0,74
S001,12,Session5,2025-01-14,Q028,Science,What is the largest planet in our solar system?,Jupiter,Jupiter,1,65
S001,12,Session5,2025-01-14,Q029,Science,What gas do plants breathe in that humans and animals breathe out?,Carbon dioxide,Carbon dioxide,1,57
S001,12,Session5,2025-01-14,Q030,Math,What is 26 + 47?,73,73,1,18
S001,12,Session5,2025-01-14,Q031,History,What ancient civilization built the pyramids?,Egyptians,Egyptians,1,36
S001,12,Session5,2025-01-14,Q032,Math,What is 90 - 4?,86,86,1,109
S001,12,Session5,2025-01-14,Q033,Science,What is H2O commonly known as?,Water,Water,1,113
S001,12,Session6,2025-01-18,Q034,History,What wall fell in 1989 reuniting Germany?,No idea,Berlin Wall,0,59
S001,12,Session6,2025-01-18,Q035,History,What ancient civilization built the pyramids?,Egyptians,Egyptians,1,5
S001,12,Session6,2025-01-18,Q036,Math,What is 7 × 2?,14,14,1,112
S001,12,Session6,2025-01-18,Q037,Math,What is 5 + 39?,44,44,1,37
S001,12,Session6,2025-01-18,Q038,Science,What is the largest planet in our solar system?,No idea,Jupiter,0,89
S001,12,Session7,2025-01-28,Q039,English,Finish the proverb: 'A stitch in time saves ____.',nine,nine,1,30
S001,12,Session7,2025-01-28,Q040,English,What do we call words that sound the same but have different meanings?,homonyms,homonyms,1,5
S001,12,Session7,2025-01-28,Q041,Math,What is 35 + 14?,48,49,0,49
S001,12,Session7,2025-01-28,Q042,Math,What is 24 + 19?,43,43,1,78
S001,12,Session7,2025-01-28,Q043,Math,What is 10 × 6?,58,60,0,117
S001,12,Session7,2025-01-28,Q044,Science,At what temperature (°C) does water freeze?,0,0,1,65
S001,12,Session7,2025-01-28,Q045,Science,What part of the plant conducts photosynthesis?,Leaf,Leaf,1,29
S001,12,Session7,2025-01-28,Q046,Math,What is 41 + 28?,67,69,0,5
S001,12,Session7,2025-01-28,Q047,English,What is the plural of 'child'?,IDK,children,0,25
S001,12,Session8,2025-01-29,Q048,History,What is the capital of France?,Paris,Paris,1,113
S001,12,Session8,2025-01-29,Q049,Math,What is 94 - 18?,76,76,1,42
S001,12,Session8,2025-01-29,Q050,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",I'm guessing,happy,0,18
S001,12,Session8,2025-01-29,Q051,English,What is the opposite of 'cold'?,IDK,hot,0,84
S001,12,Session8,2025-01-29,Q052,Science,What force keeps us on the ground?,I don't know,Gravity,0,117
S001,12,Session8,2025-01-29,Q053,History,Who was the first President of the United States?,George washington,George Washington,1,105
S001,12,Session8,2025-01-29,Q054,Science,At what temperature (°C) does water freeze?,0,0,1,53
S001,12,Session8,2025-01-29,Q055,History,Who discovered America in 1492?,Christopher columbus,Christopher Columbus,1,41
S001,12,Session8,2025-01-29,Q056,Science,What planet is known as the Red Planet?,No idea,Mars,0,115
S001,12,Session9,2025-01-30,Q057,English,What is the opposite of 'cold'?,I'm guessing,hot,0,47
S001,12,Session9,2025-01-30,Q058,Math,What is 17 + 12?,30,29,0,9
S001,12,Session9,2025-01-30,Q059,Math,What is 8 × 7?,57,56,0,60
S001,12,Session9,2025-01-30,Q060,Math,What is 93 - 7?,86,86,1,5
S001,12,Session9,2025-01-30,Q061,Science,What part of the plant conducts photosynthesis?,No idea,Leaf,0,84
S001,12,Session9,2025-01-30,Q062,English,Identify the noun in the sentence: 'The cat slept.',IDK,cat,0,69
S001,12,Session9,2025-01-30,Q063,English,What punctuation ends a question?,I'm guessing,question mark,0,42
S001,12,Session10,2025-02-01,Q064,History,What ship famously sank in 1912?,,Titanic,0,77
S001,12,Session10,2025-02-01,Q065,English,What punctuation ends a question?,-,question mark,0,43
S001,12,Session10,2025-02-01,Q066,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",happy,happy,1,73
S001,12,Session10,2025-02-01,Q067,History,Who discovered America in 1492?,,Christopher Columbus,0,26
S001,12,Session10,2025-02-01,Q068,Math,What is 85 - 11?,74,74,1,27
S001,12,Session10,2025-02-01,Q069,Science,What is H2O commonly known as?,Water,Water,1,62
S001,12,Session11,2025-02-24,Q070,Science,What vitamin do we get from sunlight?,"I'm not sure, maybe Vitamin D",Vitamin D,0,88
S001,12,Session11,2025-02-24,Q071,Math,What is 50 + 28?,78,78,1,92
S001,12,Session11,2025-02-24,Q072,Science,What gas do plants breathe in that humans and animals breathe out?,,Carbon dioxide,0,72
S001,12,Session11,2025-02-24,Q073,English,What do we call words that sound the same but have different meanings?,I'm guessing,homonyms,0,119
S001,12,Session11,2025-02-24,Q074,History,What is the capital of France?,"I'm not sure, maybe Paris",Paris,0,115
S001,12,Session11,2025-02-24,Q075,History,Which empire was ruled by Julius Caesar?,Roman Empire,Roman Empire,1,69
S001,12,Session11,2025-02-24,Q076,History,Who discovered America in 1492?,Christopher Columbus,Christopher Columbus,1,30
S001,12,Session11,2025-02-24,Q077,English,What is the opposite of 'cold'?,hot,hot,1,47
S001,12,Session11,2025-02-24,Q078,Math,What is 72 - 11?,63,61,0,12
S001,12,Session11,2025-02-24,Q079,Science,What vitamin do we get from sunlight?,Vitamin D,Vitamin D,1,75
S001,12,Session12,2025-03-11,Q080,English,Finish the proverb: 'A stitch in time saves ____.',IDK,nine,0,73
S001,12,Session12,2025-03-11,Q081,Science,What organ pumps blood around the body?,Heart,Heart,1,5
S001,12,Session12,2025-03-11,Q082,Science,What organ pumps blood around the body?,,Heart,0,8
S001,12,Session12,2025-03-11,Q083,History,Who wrote the play 'Romeo and Juliet'?,"I'm not sure, maybe William Shakespeare",William Shakespeare,0,87
S001,12,Session12,2025-03-11,Q084,History,What ancient civilization built the pyramids?,"I'm not sure, maybe Egyptians",Egyptians,0,38
S001,12,Session13,2025-03-17,Q085,History,Who was known as the Maid of Orléans?,Joan of arc,Joan of Arc,1,40
S001,12,Session13,2025-03-17,Q086,History,What wall fell in 1989 reuniting Germany?,,Berlin Wall,0,74
S001,12,Session13,2025-03-17,Q087,Math,What is 48 - 3?,43,45,0,101
S001,12,Session13,2025-03-17,Q088,Math,What is 13 + 2?,14,15,0,21
S001,12,Session13,2025-03-17,Q089,History,In which year did World War II end?,"I'm not sure, maybe 1945",1945,0,94
S001,12,Session13,2025-03-17,Q090,English,What is a synonym for 'big'?,large,large,1,100
S001,12,Session14,2025-03-28,Q091,English,Identify the noun in the sentence: 'The cat slept.',IDK,cat,0,78
S001,12,Session14,2025-03-28,Q092,History,What ship famously sank in 1912?,"I'm not sure, maybe Titanic",Titanic,0,80
S001,12,Session14,2025-03-28,Q093,Science,What gas do plants breathe in that humans and animals breathe out?,,Carbon dioxide,0,81
S001,12,Session14,2025-03-28,Q094,Math,What is 2 × 7?,14,14,1,5
S001,12,Session14,2025-03-28,Q095,Math,What is 82 - 4?,78,78,1,119
S001,12,Session14,2025-03-28,Q096,Science,What vitamin do we get from sunlight?,Vitamin D,Vitamin D,1,70
S002,10,Session1,2025-01-04,Q097,English,Finish the proverb: 'A stitch in time saves ____.',Nine,nine,1,94
S002,10,Session1,2025-01-04,Q098,Math,What is 5 × 3?,15,15,1,76
S002,10,Session1,2025-01-04,Q099,History,Which empire was ruled by Julius Caesar?,Roman Empire,Roman Empire,1,34
S002,10,Session1,2025-01-04,Q100,English,"Which is a verb: 'swim', 'blue', or 'quick'?",swim,swim,1,31
S002,10,Session1,2025-01-04,Q101,English,What is a synonym for 'big'?,IDK,large,0,44
S002,10,Session1,2025-01-04,Q102,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",happy,happy,1,20
S002,10,Session2,2025-01-12,Q103,Science,What force keeps us on the ground?,Gravity,Gravity,1,80
S002,10,Session2,2025-01-12,Q104,English,Identify the noun in the sentence: 'The cat slept.',IDK,cat,0,34
S002,10,Session2,2025-01-12,Q105,English,What is the plural of 'child'?,children,children,1,19
S002,10,Session2,2025-01-12,Q106,English,What is the plural of 'child'?,children,children,1,18
S002,10,Session2,2025-01-12,Q107,English,What do we call words that sound the same but have different meanings?,homonyms,homonyms,1,5
S002,10,Session2,2025-01-12,Q108,Math,What is 26 + 32?,58,58,1,5
S002,10,Session2,2025-01-12,Q109,English,Identify the noun in the sentence: 'The cat slept.',-,cat,0,76
S002,10,Session2,2025-01-12,Q110,History,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,89
S002,10,Session2,2025-01-12,Q111,History,What wall fell in 1989 reuniting Germany?,No idea,Berlin Wall,0,77
S002,10,Session2,2025-01-12,Q112,Math,What is 3 × 5?,15,15,1,9
S002,10,Session3,2025-02-01,Q113,Math,What is 77 - 16?,61,61,1,80
S002,10,Session3,2025-02-01,Q114,Math,What is 5 × 6?,29,30,0,59
S002,10,Session3,2025-02-01,Q115,Math,What is 5 × 12?,60,60,1,17
S002,10,Session3,2025-02-01,Q116,English,"Which is a verb: 'swim', 'blue', or 'quick'?",I'm guessing,swim,0,41
